,playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,Unnamed: 0
60,8467950,2014,Craig Anderson,OTT,G,all,35,125551.0,85.38,87.0,1971.0,72.65,68.0,253.42,285.0,1091.21,1134.0,31.87,30.0,614.31,477.0,464.44,557.0,83.28,1234.0,214.0,78.0,33.37,26.39,25.63,30.0,24.0,33.0,445.0,4.0,2.0,
61,8467391,2014,Jason LaBarbera,ANA,G,all,5,12448.0,6.54,9.0,178.0,6.14,8.0,21.63,20.0,91.93,99.0,4.18,2.0,50.97,42.0,42.59,48.0,6.38,109.0,16.0,6.0,2.55,1.84,2.15,3.0,2.0,4.0,47.0,0.0,0.0,
62,8470657,2014,Jimmy Howard,DET,G,all,53,177937.0,114.0,121.0,2383.0,87.54,66.0,296.14,327.0,1306.38,1350.0,46.19,63.0,735.16,571.0,549.62,686.0,109.53,1424.0,287.0,114.0,39.32,34.96,39.72,40.0,34.0,47.0,558.0,2.0,1.0,
63,8475299,2014,Joni Ortio,CGY,G,all,6,19997.0,12.81,14.0,314.0,10.82,7.0,35.4,38.0,158.52,153.0,4.46,2.0,89.76,65.0,66.29,92.0,12.44,168.0,45.0,7.0,5.18,5.76,1.87,9.0,3.0,2.0,94.0,0.0,0.0,
64,8471695,2014,Tuukka Rask,BOS,G,all,70,243781.0,160.02,156.0,3623.0,128.27,115.0,469.3,551.0,1986.91,2011.0,67.51,88.0,1098.05,859.0,833.46,1006.0,154.83,2162.0,457.0,135.0,59.03,54.65,46.34,47.0,59.0,50.0,869.0,8.0,4.0,
65,8469608,2014,Mike Smith,ARI,G,all,62,213347.0,171.57,187.0,3571.0,134.15,144.0,438.92,444.0,1935.58,1955.0,55.82,45.0,1079.39,897.0,800.98,948.0,165.55,2046.0,473.0,169.0,57.14,56.12,58.3,56.0,56.0,75.0,883.0,10.0,5.0,
66,8468524,2014,Ilya Bryzgalov,ANA,G,all,8,19769.0,12.42,23.0,281.0,9.83,5.0,33.72,34.0,148.46,150.0,6.1,5.0,83.24,61.0,63.13,78.0,12.22,151.0,51.0,5.0,4.59,6.38,1.45,7.0,13.0,3.0,74.0,0.0,0.0,
67,8475683,2014,Sergei Bobrovsky,CBJ,G,all,51,179366.0,128.95,134.0,2820.0,107.38,95.0,355.35,331.0,1576.83,1632.0,42.14,76.0,897.39,735.0,654.78,810.0,124.13,1714.0,373.0,108.0,48.25,44.38,36.33,44.0,52.0,38.0,625.0,4.0,2.0,
68,8471774,2014,Alex Stalock,S.J,G,all,22,74190.0,53.47,54.0,1082.0,38.62,44.0,125.85,134.0,555.45,553.0,20.33,27.0,301.22,237.0,223.99,268.0,51.21,565.0,137.0,59.0,17.92,16.87,18.68,12.0,16.0,26.0,321.0,2.0,1.0,
69,8474593,2014,Jacob Markstrom,VAN,G,all,3,4658.0,2.9,4.0,76.0,2.51,8.0,9.33,5.0,36.53,33.0,1.7,2.0,21.26,20.0,14.62,15.0,2.76,42.0,7.0,3.0,1.19,0.92,0.79,0.0,2.0,2.0,24.0,0.0,0.0,
70,8476839,2014,Viktor Fasth,EDM,G,all,26,80189.0,65.89,76.0,1284.0,49.12,47.0,159.44,168.0,698.92,681.0,20.33,23.0,393.94,314.0,286.85,348.0,63.24,711.0,210.0,58.0,21.82,26.36,17.72,34.0,20.0,22.0,305.0,0.0,0.0,
71,8471403,2014,Karri Ramo,CGY,G,all,34,103907.0,78.92,75.0,1727.0,57.37,54.0,197.58,191.0,866.12,852.0,25.99,31.0,467.52,426.0,356.64,412.0,76.46,874.0,237.0,75.0,25.15,28.33,25.45,23.0,22.0,30.0,541.0,0.0,0.0,
72,8475311,2014,Darcy Kuemper,MIN,G,all,31,92923.0,59.11,68.0,1395.0,48.23,50.0,168.24,149.0,727.34,719.0,24.5,29.0,403.42,318.0,307.97,407.0,57.42,772.0,192.0,46.0,22.71,22.39,14.01,30.0,25.0,13.0,385.0,0.0,0.0,
73,8460705,2014,Evgeni Nabokov,T.B,G,all,11,33206.0,23.83,29.0,444.0,18.47,22.0,53.21,39.0,242.51,245.0,7.97,7.0,135.92,110.0,94.93,120.0,22.97,238.0,65.0,31.0,7.53,7.82,8.49,11.0,8.0,10.0,110.0,2.0,1.0,
74,8455710,2014,Martin Brodeur,STL,G,all,7,21343.0,12.58,17.0,307.0,10.35,13.0,37.98,43.0,159.36,169.0,6.38,8.0,88.88,62.0,67.02,84.0,12.22,177.0,32.0,13.0,5.16,3.67,3.75,6.0,7.0,4.0,85.0,0.0,0.0,
75,8473523,2014,Jhonas Enroth,DAL,G,all,50,170016.0,133.9,145.0,2974.0,104.63,92.0,345.44,310.0,1521.39,1504.0,35.59,38.0,857.58,664.0,638.43,860.0,128.07,1573.0,447.0,109.0,45.31,53.58,35.01,47.0,58.0,40.0,845.0,0.0,0.0,
